Name,PlayerId,Team,W,L,QS,ERA,G,GS,SV,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD
Freddy Peralta,18679,MIL,6.34228,5.08193,7.22422,3.56026,16,16,0,0,95.024,387.65,74.5727,40.2,37.59,12.7948,30.2051,0.247254,4.37594,112.295,10.6358,2.86081,3.71776,1.21183,0.289683,0.0779185,0.21176406,0.211213,1.10265,0.270981,0.743426,,,3.63289,1.98716,1.87722,50.47999954,,,
Logan Gilbert,22250,SEA,6.53497,6.01823,7.54383,3.82966,18,18,0,0,102.816,421.45,94.6837,47.05,43.75,13.3922,22.6419,0.397288,3.20523,101.817,8.91259,1.98196,4.49685,1.17228,0.241588,0.0537239,0.187864445,0.23934,1.14112,0.28992,0.712904,,,3.62112,1.9697,1.63872,61.15999985,,,
Kevin Gausman,14107,TOR,6.56859,6.3032,8.6583,4.19018,18,18,0,0,108.468,451.27,101.93,54.14,50.5,15.3465,28.4404,0.259706,2.94337,115.403,9.57543,2.35981,4.05771,1.27335,0.25573,0.0630231,0.19270651,0.242757,1.20193,0.299456,0.700099,,,3.73365,1.94993,1.22225,38.18999863,,,
Cole Ragans,21846,KCR,6.1485,5.1251,6.96123,3.73969,16,16,0,0,93.088,389.1,82.8916,41.63,38.68,10.1581,31.4894,0.268989,2.82811,102.119,9.87312,3.04448,3.24296,0.982112,0.262449,0.0809287,0.181520045,0.233641,1.22874,0.299925,0.72635,,,3.48477,1.94037,1.52667,79.61000061,,,
Luis Castillo,15689,SEA,6.91042,6.00781,8.49902,3.81016,18,18,0,0,108.468,448.75,96.9054,49.63,45.92,13.3287,31.6812,0.331961,3.87982,105.42,8.74711,2.62871,3.32753,1.10593,0.23492,0.0705988,0.164320812,0.23453,1.18548,0.28385,0.718268,,,3.79142,1.91555,1.64166,28.48999977,,,
Dylan Cease,18525,SDP,6.84811,4.81882,7.98394,3.81976,16,16,0,0,98.912,411.9,81.2639,44.95,41.98,12.8369,36.4885,0.467461,4.14161,115.483,10.5078,3.32009,3.16491,1.16803,0.280366,0.0885858,0.191779874,0.218881,1.19048,0.28165,0.729624,,,3.73863,1.84457,1.59432,97.83000183,,,
Zac Gallen,19291,ARI,6.11574,4.55537,6.80514,3.77039,15,15,0,0,88.845,367.16,81.8415,39.95,37.22,10.2135,22.5647,0.233531,3.21833,90.5562,9.17335,2.28581,4.01318,1.03463,0.24664,0.0614575,0.185182236,0.239739,1.17515,0.297697,0.715328,,,3.48078,1.8128,1.48202,40.02000046,,,
Aaron Nola,16149,PHI,7.20392,5.53906,8.17441,3.97999,18,18,0,0,106.146,436.91,98.5935,50.7,46.94,15.2629,24.5083,0.283965,3.65504,103.315,8.75992,2.07803,4.21549,1.29412,0.236466,0.0560947,0.180371746,0.241209,1.15974,0.287179,0.711679,,,3.87284,1.80391,1.40752,52.81999969,,,
Carlos Rodón,16137,NYY,7.65871,4.43073,7.81245,3.91998,17,17,0,0,100.929,418.26,84.8552,47.28,43.96,14.7801,32.6349,0.252919,4.33487,112.574,10.0384,2.9101,3.4495,1.31796,0.269148,0.0780253,0.191122793,0.222547,1.16409,0.275955,0.725326,,,3.92608,1.71831,1.50957,142.2100067,,,
Justin Steele,17312,CHC,5.94675,5.04621,6.38455,3.91997,16,16,0,0,89.312,374.09,87.3732,42.08,38.9,9.47542,23.655,0.219809,3.46674,80.5644,8.1185,2.38372,3.40581,0.954841,0.215361,0.0632334,0.152127571,0.251819,1.24315,0.303189,0.705261,,,3.64035,1.68286,1.26814,94.83000183,,,
Tanner Bibee,30134,CLE,5.45096,5.67294,6.5387,3.77021,16,16,0,0,90.544,372.24,78.9354,40.9,37.93,11.7603,24.7753,0.207989,3.29918,90.4861,8.99425,2.46264,3.65227,1.16897,0.243085,0.0665573,0.176528081,0.229353,1.14542,0.277676,0.719924,,,3.7742,1.65545,1.50412,104.8199997,,,
Jack Flaherty,17479,DET,5.48385,5.87942,7.33979,3.98042,16,16,0,0,94.784,399.17,86.1616,45.24,41.92,12.0147,31.1836,0.332978,4.94594,104.9,9.96056,2.96097,3.36395,1.14082,0.262796,0.0781212,0.184674434,0.237333,1.23803,0.301256,0.717289,,,3.73216,1.62856,1.33592,336.8200073,,,
