,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_poly__degree,param_poly__interaction_only,param_ridge__alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
36,0.0019737720489501954,0.0024276396841531158,0.0,0.0,2,False,5,"{'poly__degree': 2, 'poly__interaction_only': False, 'ridge__alpha': 5}",-879.8113837062389,-587.7569730453971,-724.0802494869529,-491.6657846369252,-776.574071495558,-691.9776924742143,137.44485137814465,31
37,0.001032257080078125,0.00206451416015625,0.000916147232055664,0.001832294464111328,2,False,10.0,"{'poly__degree': 2, 'poly__interaction_only': False, 'ridge__alpha': 10.0}",-829.5172714897657,-581.050048808654,-721.5783434439829,-492.35341315721405,-694.9283099267421,-663.8854773652718,116.62844657316678,24
38,0.0010293483734130859,0.0020586967468261717,0.00032825469970703124,0.0006565093994140626,2,False,20,"{'poly__degree': 2, 'poly__interaction_only': False, 'ridge__alpha': 20}",-798.4683464477881,-615.8364836841864,-754.8936970433076,-530.6607545753026,-641.183140409194,-668.2084844319558,96.8240996947049,27
39,0.00020060539245605468,0.00040121078491210936,0.0,0.0,2,False,25,"{'poly__degree': 2, 'poly__interaction_only': False, 'ridge__alpha': 25}",-798.9067121606596,-633.5497700836588,-772.5391270949002,-552.2043194611815,-629.0966545912312,-677.2593166783263,93.53635647432573,29
40,0.0011645317077636718,0.0016652920007683022,0.0004404544830322266,0.0008809089660644532,3,True,0.001,"{'poly__degree': 3, 'poly__interaction_only': True, 'ridge__alpha': 0.001}",-1072.416693496552,-681.2504240888046,-1141.9144209277895,-665.7488477203674,-627.5398058470112,-837.774038416105,221.74277371651033,49
41,0.0,0.0,0.0016312122344970704,0.0032624244689941407,3,True,0.01,"{'poly__degree': 3, 'poly__interaction_only': True, 'ridge__alpha': 0.01}",-1072.3216791153416,-681.093289833838,-1141.2743542852324,-665.4773666736489,-627.5054623000436,-837.5344304416209,221.61797066214385,48
42,0.0020555973052978514,0.0019162829624444007,0.0,0.0,3,True,0.1,"{'poly__degree': 3, 'poly__interaction_only': True, 'ridge__alpha': 0.1}",-1071.3795367259527,-679.5440282921725,-1134.9478028866515,-662.7952643931919,-627.1821590730482,-835.1697582742033,220.3874365123941,46
43,0.002232217788696289,0.002807574717249687,0.0,0.0,3,True,0.25,"{'poly__degree': 3, 'poly__interaction_only': True, 'ridge__alpha': 0.25}",-1069.840733060063,-677.0481532557302,-1124.6938637913302,-658.4536369524245,-626.7194503593412,-831.3511674837779,218.40527753822565,44
44,0.0019744396209716796,0.0024202974547161407,0.0,0.0,3,True,1.0,"{'poly__degree': 3, 'poly__interaction_only': True, 'ridge__alpha': 1.0}",-1062.6772894368148,-665.9916610960274,-1078.2640795900388,-638.9125523191452,-625.5122492366075,-814.2715663357268,209.64982433104504,41
45,0.001034688949584961,0.002069377899169922,0.0020243167877197266,0.004048633575439452,3,True,2.5,"{'poly__degree': 3, 'poly__interaction_only': True, 'ridge__alpha': 2.5}",-1050.465359169655,-649.2704247577977,-1004.0670408970275,-608.3457731192758,-626.1252131962423,-787.6547622279996,196.62015047609552,39
46,0.001934814453125,0.002374620755344965,0.0,0.0,3,True,5,"{'poly__degree': 3, 'poly__interaction_only': True, 'ridge__alpha': 5}",-1034.4007274988546,-631.3857848410712,-915.6731646361308,-573.76640654046,-629.4859796885696,-756.9424126410173,183.16201921200388,36
47,0.0017395496368408203,0.0021351693723950745,0.001022672653198242,0.002045345306396484,3,True,10.0,"{'poly__degree': 3, 'poly__interaction_only': True, 'ridge__alpha': 10.0}",-1011.5300435336267,-614.3579893964522,-806.4349158502301,-535.5282798154733,-633.9314840453179,-720.3565425282201,170.32789832480307,33
48,0.0,0.0,0.0007309436798095704,0.0009099249541172733,3,True,20,"{'poly__degree': 3, 'poly__interaction_only': True, 'ridge__alpha': 20}",-983.2932126697115,-608.7064949136084,-695.3192702900508,-504.0260358775079,-632.1121887783529,-684.6914405058462,161.5266214614313,30
49,0.001623678207397461,0.002091324998528143,0.0002673625946044922,0.0005347251892089844,3,True,25,"{'poly__degree': 3, 'poly__interaction_only': True, 'ridge__alpha': 25}",-973.6826856613945,-611.2926543455433,-662.8975018654854,-496.68700767708845,-628.8131329877002,-674.6745965074423,159.5898891181603,28
50,0.0022807598114013674,0.002364387369381293,0.0,0.0,3,False,0.001,"{'poly__degree': 3, 'poly__interaction_only': False, 'ridge__alpha': 0.001}",-1260.711052136966,-919.4430072185417,-951.3483916739297,-835.4756690912054,-722.5304417218649,-937.9017123685014,179.77946789513945,61
51,0.002037382125854492,0.002495275825803288,1.1587142944335938e-05,2.3174285888671876e-05,3,False,0.01,"{'poly__degree': 3, 'poly__interaction_only': False, 'ridge__alpha': 0.01}",-1260.5016740111057,-919.3390971368514,-951.2162857346095,-835.1645976689726,-722.4733893810886,-937.7390087865257,179.75356937743672,60
52,0.0009290695190429688,0.0018581390380859378,0.0020404338836669924,0.0024990136651345898,3,False,0.1,"{'poly__degree': 3, 'poly__interaction_only': False, 'ridge__alpha': 0.1}",-1258.4186936319306,-918.3079331357894,-949.8995842804846,-832.0748638468589,-721.9079180778149,-936.1217985945757,179.4969643019932,59
